system:index,precipitation,year
0,2356.3101743021284,1981.0
1,2262.4746505771154,1982.0
2,2520.0532526423162,1983.0
3,2572.83331185313,1984.0
4,2544.951679101792,1985.0
5,2370.317813148388,1986.0
6,2423.5467852271213,1987.0
7,3047.1507748026884,1988.0
8,2622.778131301167,1989.0
9,2650.0565205978046,1990.0
10,2644.406504225792,1991.0
11,2162.0011504077565,1992.0
12,2715.5647265300863,1993.0
13,2216.284568162961,1994.0
14,2539.388950543406,1995.0
15,2310.978448058934,1996.0
16,2271.6368509848635,1997.0
17,2715.11688731393,1998.0
18,2605.53205592394,1999.0
19,2841.0015639902686,2000.0
20,2410.6953065297535,2001.0
21,2442.4835676717075,2002.0
22,2493.9384622413377,2003.0
23,2923.548211347143,2004.0
24,2462.3504893057248,2005.0
25,2179.4642104782606,2006.0
26,2741.356537968351,2007.0
27,2379.2658554199934,2008.0
28,2267.706794287547,2009.0
29,2999.080558522761,2010.0
30,2279.6089993252845,2011.0
31,2783.692978306061,2012.0
32,2419.9459896428857,2013.0
33,2344.7627698249707,2014.0
34,2456.4929930010917,2015.0
35,2443.201596654129,2016.0
36,2785.2514879018568,2017.0
37,2209.5158502204554,2018.0
38,2337.4707939656087,2019.0
